sno;observationdate;provincestate;countryregion;lastupdate;confirmed;deaths;recovered;novoscasos
2456;26/02/2020;;Brazil;26/02/2020 23:53;1.0;0.0;0.0;0.0
2560;27/02/2020;;Brazil;26/02/2020 23:53;1.0;0.0;0.0;0.0
2669;28/02/2020;;Brazil;26/02/2020 23:53;1.0;0.0;0.0;0.0
2777;29/02/2020;;Brazil;29/02/2020 21:03;2.0;0.0;0.0;1.0
2904;01/03/2020;;Brazil;29/02/2020 21:03;2.0;0.0;0.0;0.0
3033;02/03/2020;;Brazil;29/02/2020 21:03;2.0;0.0;0.0;0.0
3174;03/03/2020;;Brazil;29/02/2020 21:03;2.0;0.0;0.0;0.0
3323;04/03/2020;;Brazil;04/03/2020 20:33;4.0;0.0;0.0;2.0
3487;05/03/2020;;Brazil;04/03/2020 20:33;4.0;0.0;0.0;0.0
3648;06/03/2020;;Brazil;06/03/2020 20:33;13.0;0.0;0.0;9.0
3849;07/03/2020;;Brazil;06/03/2020 20:33;13.0;0.0;0.0;0.0
4069;08/03/2020;;Brazil;08/03/2020 17:23;20.0;0.0;0.0;7.0
4321;09/03/2020;;Brazil;09/03/2020 10:13;25.0;0.0;0.0;5.0
4588;10/03/2020;;Brazil;10/03/2020 16:53;31.0;0.0;0.0;6.0
4797;11/03/2020;;Brazil;11/03/2020 22:13;38.0;0.0;0.0;7.0
5006;12/03/2020;;Brazil;12/03/2020 01:33;52.0;0.0;0.0;14.0
5228;13/03/2020;;Brazil;11/03/2020 20:00;151.0;0.0;0.0;99.0
5434;14/03/2020;;Brazil;13/03/2020 22:21;151.0;0.0;0.0;0.0
5682;15/03/2020;;Brazil;15/03/2020 18:20;162.0;0.0;0.0;11.0
5939;16/03/2020;;Brazil;16/03/2020 02:33;200.0;0.0;1.0;38.0
6202;17/03/2020;;Brazil;17/03/2020 15:33;321.0;1.0;2.0;121.0
6477;18/03/2020;;Brazil;18/03/2020 19:14;372.0;3.0;2.0;51.0
6756;19/03/2020;;Brazil;19/03/2020 20:43;621.0;6.0;2.0;249.0
7044;20/03/2020;;Brazil;20/03/2020 20:13;793.0;11.0;2.0;172.0
7338;21/03/2020;;Brazil;21/03/2020 17:43;1021.0;15.0;2.0;228.0
7638;22/03/2020;;Brazil;08/03/2020 05:31;1546.0;25.0;2.0;525.0
7937;23/03/2020;;Brazil;23/03/2020 23:23;1924.0;34.0;2.0;378.0
8231;24/03/2020;;Brazil;24/03/2020 23:41;2247.0;46.0;2.0;323.0
8529;25/03/2020;;Brazil;25/03/2020 23:37;2554.0;59.0;2.0;307.0
8831;26/03/2020;;Brazil;26/03/2020 23:53;2985.0;77.0;6.0;431.0
9137;27/03/2020;;Brazil;27/03/2020 23:27;3417.0;92.0;6.0;432.0
9444;28/03/2020;;Brazil;08/03/2020 05:31;3904.0;111.0;6.0;487.0
9755;29/03/2020;;Brazil;08/03/2020 05:31;4256.0;136.0;6.0;352.0
10067;30/03/2020;;Brazil;08/03/2020 05:31;4579.0;159.0;120.0;323.0
10379;31/03/2020;;Brazil;31/03/2020 23:49;5717.0;201.0;127.0;1138.0
10692;01/04/2020;;Brazil;01/04/2020 22:04;6836.0;240.0;127.0;1119.0
11005;02/04/2020;;Brazil;02/04/2020 08:53;8044.0;324.0;127.0;1208.0
11320;03/04/2020;;Brazil;03/04/2020 22:52;9056.0;359.0;127.0;1012.0
11635;04/04/2020;;Brazil;04/04/2020 09:38;10360.0;445.0;127.0;1304.0
11951;05/04/2020;;Brazil;05/04/2020 23:13;11130.0;486.0;127.0;770.0
12270;06/04/2020;;Brazil;06/04/2020 09:37;12161.0;564.0;127.0;1031.0
12590;07/04/2020;;Brazil;07/04/2020 23:11;14034.0;686.0;127.0;1873.0
12910;08/04/2020;;Brazil;08/04/2020 22:59;16170.0;819.0;127.0;2136.0
13230;09/04/2020;;Brazil;09/04/2020 23:09;18092.0;950.0;173.0;1922.0
13550;10/04/2020;;Brazil;10/04/2020 23:01;19638.0;1057.0;173.0;1546.0
13871;11/04/2020;;Brazil;11/04/2020 22:52;20727.0;1124.0;173.0;1089.0
14192;12/04/2020;;Brazil;12/04/2020 23:25;22192.0;1223.0;173.0;1465.0
14512;13/04/2020;;Brazil;13/04/2020 23:15;23430.0;1328.0;173.0;1238.0
14832;14/04/2020;;Brazil;14/04/2020 23:41;25262.0;1532.0;3046.0;1832.0
