,sno,observationdate,provincestate,countryregion,lastupdate,confirmed,deaths,recovered,novoscasos
2455,2456,2020-02-26,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0,0.0
2559,2560,2020-02-27,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0,0.0
2668,2669,2020-02-28,,Brazil,2020-02-26 23:53:02,1.0,0.0,0.0,0.0
2776,2777,2020-02-29,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0,1.0
2903,2904,2020-03-01,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0,0.0
3032,3033,2020-03-02,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0,0.0
3173,3174,2020-03-03,,Brazil,2020-02-29 21:03:05,2.0,0.0,0.0,0.0
3322,3323,2020-03-04,,Brazil,2020-03-04 20:33:02,4.0,0.0,0.0,2.0
3486,3487,2020-03-05,,Brazil,2020-03-04 20:33:02,4.0,0.0,0.0,0.0
3647,3648,2020-03-06,,Brazil,2020-03-06 20:33:03,13.0,0.0,0.0,9.0
3848,3849,2020-03-07,,Brazil,2020-03-06 20:33:03,13.0,0.0,0.0,0.0
4068,4069,2020-03-08,,Brazil,2020-03-08 17:23:07,20.0,0.0,0.0,7.0
4320,4321,2020-03-09,,Brazil,2020-03-09 10:13:06,25.0,0.0,0.0,5.0
4587,4588,2020-03-10,,Brazil,2020-03-10 16:53:13,31.0,0.0,0.0,6.0
4796,4797,2020-03-11,,Brazil,2020-03-11 22:13:12,38.0,0.0,0.0,7.0
5005,5006,2020-03-12,,Brazil,2020-03-12 01:33:03,52.0,0.0,0.0,14.0
5227,5228,2020-03-13,,Brazil,2020-03-11 20:00:00,151.0,0.0,0.0,99.0
5433,5434,2020-03-14,,Brazil,2020-03-13 22:21:58,151.0,0.0,0.0,0.0
5681,5682,2020-03-15,,Brazil,2020-03-15 18:20:18,162.0,0.0,0.0,11.0
5938,5939,2020-03-16,,Brazil,2020-03-16 02:33:08,200.0,0.0,1.0,38.0
